Post_ID,Post_Type,Date,Likes,Shares,Comments,Views,Engagement_Score,User_ID,Platform,Tags
P00001,Video,2024-04-22,3195,178,2542,66777,2094.0,U00908,YouTube,"#update,#guide,#announcement"
P00002,Image,2023-06-04,627,351,406,18604,477.9,U00888,Facebook,"#event,#guide"
P00003,Image,2023-02-28,4479,844,2558,59332,2812.2,U00211,Facebook,"#update,#event"
P00004,Video,2023-11-21,2024,36,1297,92842,1209.5,U00098,Instagram,#guide
P00005,Video,2023-02-16,909,442,1831,57462,1045.5,U00988,YouTube,"#fanart,#cosplay,#stream"
P00006,Video,2023-07-07,389,1470,323,8019,693.5,U00949,YouTube,"#cosplay,#fanart,#event"
P00007,Video,2023-01-01,560,210,1456,63239,723.8,U00493,YouTube,#update
P00008,Video,2023-01-04,3745,573,1140,53749,2011.9,U00654,Instagram,"#announcement,#update"
P00009,Image,2024-04-02,2033,527,1800,99133,1511.3,U00432,YouTube,"#cosplay,#stream,#fanart"
P00010,Image,2024-02-03,2183,221,2371,36328,1650.8,U00487,Facebook,#fanart
P00011,Text,2023-03-23,2476,1551,1658,70287,1953.1,U00477,YouTube,"#update,#fanart"
P00012,Video,2023-05-01,3878,355,2322,91023,2354.3,U00626,Instagram,"#update,#announcement"
P00013,Image,2023-09-18,3266,341,1805,37462,1950.2,U00207,Instagram,"#event,#announcement,#fanart"
P00014,Video,2023-08-08,3885,1113,2461,48056,2626.2,U00675,Facebook,"#event,#cosplay"
P00015,Text,2023-09-02,3833,1707,239,62551,2117.0,U00150,Facebook,"#fanart,#announcement,#update"
P00016,Image,2023-04-24,41,1075,1197,19448,698.0,U00699,YouTube,#update
P00017,Video,2023-04-17,3966,1455,968,38623,2313.3,U00103,Instagram,"#cosplay,#update"
P00018,Image,2024-03-08,1949,513,160,66831,981.5,U00526,Twitter,#event
P00019,Video,2023-09-19,655,1119,300,60087,687.7,U00925,Twitter,"#announcement,#update,#fanart"
P00020,Image,2023-06-16,1987,1054,2185,27525,1766.5,U00929,Facebook,#guide
P00021,Image,2023-09-10,3584,1303,2340,26358,2526.5,U00768,Instagram,"#cosplay,#event"
P00022,Image,2024-01-21,940,800,2909,92250,1488.7,U00134,Instagram,#stream
P00023,Video,2023-03-07,3498,1347,2825,58672,2650.8,U00611,Facebook,#cosplay
P00024,Image,2023-12-08,2822,201,1133,8168,1529.0,U00328,Twitter,"#stream,#announcement,#guide"
P00025,Video,2023-07-19,1362,501,696,32252,903.9,U00911,Facebook,"#announcement,#stream"
P00026,Image,2023-03-18,743,132,162,30047,385.4,U00922,Instagram,#guide
P00027,Video,2024-05-13,3195,1122,915,62141,1889.1,U00151,Instagram,"#guide,#update"
P00028,Image,2023-08-19,50,1257,20,2883,403.1,U00517,Facebook,#fanart
P00029,Image,2024-04-28,122,1810,733,54988,811.7,U00159,Facebook,"#update,#fanart,#event"
P00030,Video,2023-10-01,718,19,2443,27096,1025.8,U00868,YouTube,"#fanart,#event"
P00031,Image,2023-11-04,2473,565,664,72060,1357.9,U00210,Instagram,"#fanart,#cosplay,#guide"
P00032,Video,2023-05-25,2173,1358,1993,87596,1874.5,U00536,Instagram,"#fanart,#update"
P00033,Video,2023-08-07,4802,393,2756,72185,2865.5,U00616,Twitter,"#fanart,#cosplay"
P00034,Video,2023-10-16,1823,1708,1110,1689,1574.6,U00095,Twitter,#stream
P00035,Text,2023-10-23,2761,888,1388,83155,1787.2,U00609,Instagram,"#stream,#fanart,#event"
P00036,Video,2023-02-25,683,152,66,69401,338.6,U00155,Instagram,"#stream,#event"
P00037,Video,2023-05-13,2420,851,472,63338,1364.9,U00767,YouTube,"#event,#guide,#cosplay"
P00038,Video,2023-07-20,1482,1105,2863,20728,1783.2,U00430,Instagram,"#announcement,#cosplay,#stream"
P00039,Text,2023-03-27,1238,1011,1844,12900,1351.7,U00382,YouTube,"#cosplay,#stream,#event"
P00040,Image,2023-01-05,3322,92,1433,6841,1786.3,U00354,Twitter,"#guide,#announcement,#fanart"
P00041,Text,2023-08-19,797,1562,1281,1264,1171.7,U00984,Twitter,"#event,#update"
P00042,Video,2024-03-31,1803,1272,933,8989,1382.7,U00708,Twitter,#update
P00043,Image,2023-04-11,3779,560,1163,91692,2028.5,U00972,Instagram,"#stream,#announcement"
P00044,Text,2023-02-12,4156,1674,2318,82613,2860.0,U00555,YouTube,"#announcement,#update,#event"
P00045,Video,2024-02-27,3789,1511,951,90733,2254.2,U00996,Instagram,"#cosplay,#guide,#update"
P00046,Video,2023-11-24,44,54,2714,47139,848.0,U00197,Facebook,#announcement
P00047,Text,2023-07-20,2587,1766,2465,31246,2304.1,U00686,YouTube,#guide
P00048,Video,2024-05-14,353,1082,1891,38592,1033.1,U00978,YouTube,"#stream,#update"
P00049,Video,2023-11-09,1458,1772,1032,85719,1424.4,U00622,Twitter,"#guide,#cosplay"
P00050,Video,2023-04-22,2292,13,1466,86431,1360.5,U00851,YouTube,#stream
P00051,Image,2024-02-23,4043,28,60,20737,1643.6,U00930,Twitter,"#stream,#announcement"
P00052,Video,2023-10-14,1017,988,1443,45101,1136.1,U00128,Twitter,#event
P00053,Image,2023-03-20,4865,1819,758,91111,2719.1,U00240,Facebook,"#guide,#cosplay,#event"
P00054,Video,2024-04-01,4676,494,547,21791,2182.7,U00480,Twitter,#cosplay
P00055,Video,2024-01-07,3981,1211,2198,32629,2615.1,U00470,YouTube,"#stream,#event,#fanart"
P00056,Image,2023-12-02,2446,1432,2789,43939,2244.7,U00209,YouTube,#cosplay
P00057,Video,2023-05-13,3915,852,2818,97361,2667.0,U00160,YouTube,"#announcement,#update"
P00058,Image,2023-02-09,1025,552,1933,12867,1155.5,U00411,Facebook,#stream
P00059,Video,2024-03-01,4255,1811,2689,96613,3052.0,U00534,Instagram,"#fanart,#announcement"
P00060,Text,2024-04-08,1970,1492,2451,57500,1970.9,U00311,YouTube,#update
P00061,Image,2024-04-04,266,377,450,35601,354.5,U00054,Facebook,"#fanart,#stream,#update"
P00062,Text,2023-02-23,3672,590,1810,97369,2188.8,U00890,Twitter,"#fanart,#guide"
P00063,Text,2023-04-10,1354,1108,598,40271,1053.4,U00992,Instagram,"#guide,#cosplay"
P00064,Video,2023-02-20,2902,766,1511,92237,1843.9,U00885,Twitter,#guide
P00065,Text,2023-07-28,3452,1444,880,38561,2078.0,U00579,Instagram,"#guide,#announcement"
P00066,Video,2023-07-25,3002,1381,338,39581,1716.5,U00344,YouTube,#stream
P00067,Text,2024-03-29,4081,375,850,39364,1999.9,U00474,Instagram,#fanart
P00068,Image,2023-02-13,3613,8,2021,33496,2053.9,U00807,Instagram,"#update,#guide,#event"
P00069,Text,2023-07-09,1778,1304,12,91572,1106.0,U00992,Instagram,"#cosplay,#announcement,#stream"
P00070,Text,2024-05-13,1218,1151,1349,86108,1237.2,U00241,Facebook,#cosplay
P00071,Image,2023-07-20,4011,783,2186,37536,2495.1,U00966,Twitter,"#guide,#event"
P00072,Image,2024-02-05,2396,1467,2802,91196,2239.1,U00908,YouTube,"#event,#stream,#fanart"
P00073,Video,2024-04-22,1695,1279,1433,19257,1491.6,U00111,Twitter,"#event,#cosplay,#announcement"
P00074,Image,2023-01-08,86,829,2164,77186,932.3,U00754,Twitter,"#stream,#fanart"
P00075,Video,2023-11-25,3958,1377,250,54340,2071.3,U00488,Twitter,"#announcement,#update,#cosplay"
P00076,Video,2023-01-24,68,1838,1464,47154,1017.8,U00031,Facebook,#announcement
P00077,Image,2024-01-29,3704,606,407,73082,1785.5,U00849,YouTube,"#cosplay,#fanart,#stream"
P00078,Text,2023-04-29,3578,1834,652,407,2177.0,U00681,Twitter,"#event,#stream"
P00079,Image,2023-08-09,4843,120,361,8605,2081.5,U00798,Instagram,"#guide,#fanart,#cosplay"
